"Date/Time,System.BEAM_ON"
"8/1/2027 12:00:00 AM,0"
"8/1/2027 12:01:00 AM,0"
"8/1/2027 12:02:00 AM,0"
"8/1/2027 12:03:00 AM,0"
"8/1/2027 12:04:00 AM,0"
"8/1/2027 12:05:00 AM,0"
"8/1/2027 12:06:00 AM,0"
"8/1/2027 12:07:00 AM,0"
"8/1/2027 12:08:00 AM,0"
"8/1/2027 12:09:00 AM,0"
"8/1/2027 12:10:00 AM,0"
"8/1/2027 12:11:00 AM,0"
"8/1/2027 12:12:00 AM,0"
"8/1/2027 12:13:00 AM,1"
"8/1/2027 12:14:00 AM,0"
"8/1/2027 12:15:00 AM,0"
"8/1/2027 12:16:00 AM,0"
"8/1/2027 12:17:00 AM,0"
"8/1/2027 12:18:00 AM,0"
"8/1/2027 12:19:00 AM,0"
"8/1/2027 12:20:00 AM,0"
"8/1/2027 12:21:00 AM,0"
"8/1/2027 12:22:00 AM,0"
"8/1/2027 12:23:00 AM,0"
"8/1/2027 12:24:00 AM,1"
"8/1/2027 12:25:00 AM,0"
"8/1/2027 12:26:00 AM,0"
"8/1/2027 12:27:00 AM,0"
"8/1/2027 12:28:00 AM,1"
"8/1/2027 12:29:00 AM,0"
"8/1/2027 12:30:00 AM,0"
"8/1/2027 12:31:00 AM,0"
"8/1/2027 12:32:00 AM,0"
"8/1/2027 12:33:00 AM,0"
"8/1/2027 12:34:00 AM,0"
"8/1/2027 12:35:00 AM,0"
"8/1/2027 12:36:00 AM,0"
"8/1/2027 12:37:00 AM,0"
"8/1/2027 12:38:00 AM,0"
"8/1/2027 12:39:00 AM,0"
"8/1/2027 12:40:00 AM,0"
"8/1/2027 12:41:00 AM,0"
"8/1/2027 12:42:00 AM,0"
"8/1/2027 12:43:00 AM,0"
"8/1/2027 12:44:00 AM,0"
"8/1/2027 12:45:00 AM,0"
"8/1/2027 12:46:00 AM,0"
"8/1/2027 12:47:00 AM,0"
"8/1/2027 12:48:00 AM,0"
"8/1/2027 12:49:00 AM,0"
"8/1/2027 12:50:00 AM,0"
